grid_name,teff,tinner,number,odep,c,d,e,f,g,h,mdot,vexp,i
corundum-20-bb,2600,1000,62,4.6,31800.0,310000000000000.0,9.03,2.31,17.0,0.0,2.99e-05,8.95,1.25
corundum-20-bb,2600,1000,63,4.9,31200.0,313000000000000.0,9.11,2.33,17.0,0.0,3.14e-05,8.85,1.23
corundum-20-bb,2600,1000,64,5.22,30700.0,316000000000000.0,9.19,2.35,17.0,0.0,3.3e-05,8.75,1.21
corundum-20-bb,2600,1000,65,5.56,30200.0,318000000000000.0,9.27,2.38,17.0,0.0,3.46e-05,8.66,1.19
corundum-20-bb,2600,1000,66,5.92,29600.0,321000000000000.0,9.36,2.4,17.0,0.0,3.63e-05,8.57,1.17
corundum-20-bb,2600,1000,67,6.3,29100.0,324000000000000.0,9.44,2.42,17.0,0.0,3.82e-05,8.48,1.16
corundum-20-bb,2600,1000,68,6.71,28500.0,327000000000000.0,9.53,2.44,17.0,0.0,4.01e-05,8.39,1.14
corundum-20-bb,2600,1000,69,7.14,28000.0,331000000000000.0,9.63,2.47,17.0,0.0,4.21e-05,8.31,1.12
corundum-20-bb,2600,1000,70,7.61,27600.0,333000000000000.0,9.69,2.48,16.0,0.0,4.37e-05,8.28,1.11
corundum-20-bb,2600,1000,71,8.1,27100.0,336000000000000.0,9.79,2.51,16.0,0.0,4.6e-05,8.2,1.09
corundum-20-bb,2600,1000,72,8.62,26500.0,340000000000000.0,9.89,2.53,16.0,0.0,4.83e-05,8.13,1.08
corundum-20-bb,2600,1000,73,9.18,26000.0,343000000000000.0,9.99,2.56,16.0,0.0,5.09e-05,8.06,1.06
corundum-20-bb,2600,1000,74,9.78,25400.0,347000000000000.0,10.1,2.59,16.0,0.0,5.36e-05,7.99,1.05
corundum-20-bb,2600,1000,75,10.4,24900.0,351000000000000.0,10.2,2.62,16.0,0.0,5.65e-05,7.91,1.03
corundum-20-bb,2600,1000,76,11.1,24300.0,355000000000000.0,10.3,2.65,16.0,0.0,5.95e-05,7.85,1.02
corundum-20-bb,2600,1000,77,11.8,23800.0,359000000000000.0,10.4,2.68,16.0,0.0,6.28e-05,7.78,1.01
corundum-20-bb,2600,1000,78,12.6,23200.0,363000000000000.0,10.6,2.71,16.0,0.0,6.62e-05,7.72,0.998
corundum-20-bb,2600,1000,79,13.4,22600.0,367000000000000.0,10.7,2.74,16.0,0.0,6.99e-05,7.66,0.987
corundum-20-bb,2600,1000,80,14.2,22100.0,372000000000000.0,10.8,2.78,16.0,0.0,7.38e-05,7.59,0.976
corundum-20-bb,2600,1000,81,15.2,21500.0,377000000000000.0,11.0,2.81,15.0,0.0,7.8e-05,7.53,0.966
corundum-20-bb,2600,1000,82,16.2,21000.0,382000000000000.0,11.1,2.85,15.0,1.0,8.24e-05,7.47,0.957
corundum-20-bb,2600,1000,83,17.2,20400.0,387000000000000.0,11.3,2.89,15.0,1.0,8.72e-05,7.42,0.948
corundum-20-bb,2600,1000,84,18.3,19800.0,393000000000000.0,11.4,2.93,15.0,1.0,9.23e-05,7.36,0.939
corundum-20-bb,2600,1000,85,19.5,19200.0,399000000000000.0,11.6,2.97,15.0,1.0,9.77e-05,7.3,0.931
corundum-20-bb,2600,1000,86,20.8,18700.0,405000000000000.0,11.8,3.02,15.0,1.0,0.000104,7.25,0.924
corundum-20-bb,2600,1000,87,22.1,18200.0,410000000000000.0,11.9,3.06,15.0,1.0,0.000109,7.25,0.913
corundum-20-bb,2600,1000,88,23.5,17600.0,417000000000000.0,12.1,3.11,15.0,1.0,0.000116,7.2,0.906
corundum-20-bb,2600,1000,89,25.1,17100.0,423000000000000.0,12.3,3.16,15.0,1.0,0.000123,7.14,0.9
corundum-20-bb,2600,1000,90,26.7,16500.0,431000000000000.0,12.5,3.21,14.0,1.0,0.000131,7.08,0.895
corundum-20-bb,2600,1000,91,28.4,15900.0,438000000000000.0,12.8,3.27,14.0,1.0,0.000139,7.02,0.889
corundum-20-bb,2600,1000,92,30.3,15400.0,446000000000000.0,13.0,3.33,14.0,1.0,0.000148,6.96,0.884
corundum-20-bb,2600,1000,93,32.2,14800.0,454000000000000.0,13.2,3.39,14.0,2.0,0.000158,6.9,0.88
corundum-20-bb,2600,1000,94,34.3,14300.0,463000000000000.0,13.5,3.45,14.0,2.0,0.000168,6.83,0.876
corundum-20-bb,2600,1000,95,36.5,13700.0,472000000000000.0,13.7,3.52,14.0,2.0,0.000179,6.77,0.872
corundum-20-bb,2600,1000,96,38.9,13200.0,482000000000000.0,14.0,3.59,14.0,2.0,0.000191,6.7,0.868
corundum-20-bb,2600,1000,97,41.4,12700.0,492000000000000.0,14.3,3.67,13.0,2.0,0.000204,6.62,0.865
corundum-20-bb,2600,1000,98,44.1,12100.0,502000000000000.0,14.6,3.75,13.0,2.0,0.000218,6.55,0.862
corundum-20-bb,2600,1000,99,47.0,11600.0,513000000000000.0,14.9,3.83,13.0,2.0,0.000233,6.48,0.859
corundum-20-bb,2600,1000,100,50.0,11100.0,524000000000000.0,15.3,3.91,13.0,3.0,0.000249,6.4,0.857
corundum-20-bb,2600,1200,1,0.1,173000.0,133000000000000.0,3.87,0.991,27.0,0.0,1.39e-06,20.0,1.46
corundum-20-bb,2600,1200,2,0.106,171000.0,134000000000000.0,3.89,0.997,27.0,0.0,1.48e-06,20.2,1.49
corundum-20-bb,2600,1200,3,0.113,170000.0,134000000000000.0,3.91,1.0,27.0,0.0,1.55e-06,20.3,1.52
corundum-20-bb,2600,1200,4,0.121,168000.0,135000000000000.0,3.93,1.01,27.0,0.0,1.63e-06,20.4,1.55
corundum-20-bb,2600,1200,5,0.129,167000.0,135000000000000.0,3.94,1.01,26.0,0.0,1.71e-06,20.5,1.58
corundum-20-bb,2600,1200,6,0.137,165000.0,136000000000000.0,3.96,1.02,26.0,0.0,1.8e-06,20.5,1.6
corundum-20-bb,2600,1200,7,0.146,163000.0,137000000000000.0,3.98,1.02,26.0,0.0,1.89e-06,20.6,1.63
corundum-20-bb,2600,1200,8,0.155,162000.0,138000000000000.0,4.01,1.03,26.0,0.0,1.99e-06,20.6,1.66
corundum-20-bb,2600,1200,9,0.165,160000.0,138000000000000.0,4.03,1.03,26.0,0.0,2.09e-06,20.6,1.68
corundum-20-bb,2600,1200,10,0.176,158000.0,139000000000000.0,4.05,1.04,26.0,0.0,2.2e-06,20.6,1.71
corundum-20-bb,2600,1200,11,0.187,156000.0,140000000000000.0,4.07,1.04,26.0,0.0,2.31e-06,20.6,1.73
corundum-20-bb,2600,1200,12,0.199,154000.0,141000000000000.0,4.1,1.05,26.0,0.0,2.42e-06,20.6,1.75
corundum-20-bb,2600,1200,13,0.212,153000.0,142000000000000.0,4.12,1.06,26.0,0.0,2.54e-06,20.5,1.77
corundum-20-bb,2600,1200,14,0.226,151000.0,142000000000000.0,4.15,1.06,26.0,0.0,2.67e-06,20.5,1.79
corundum-20-bb,2600,1200,15,0.241,149000.0,143000000000000.0,4.18,1.07,26.0,0.0,2.8e-06,20.4,1.81
corundum-20-bb,2600,1200,16,0.256,147000.0,144000000000000.0,4.2,1.08,25.0,0.0,2.94e-06,20.3,1.83
corundum-20-bb,2600,1200,17,0.273,145000.0,145000000000000.0,4.23,1.08,25.0,0.0,3.08e-06,20.2,1.84
corundum-20-bb,2600,1200,18,0.291,143000.0,146000000000000.0,4.26,1.09,25.0,0.0,3.24e-06,20.0,1.86
corundum-20-bb,2600,1200,19,0.31,141000.0,147000000000000.0,4.29,1.1,25.0,0.0,3.39e-06,19.9,1.87
corundum-20-bb,2600,1200,20,0.33,139000.0,148000000000000.0,4.32,1.11,25.0,0.0,3.56e-06,19.7,1.88
corundum-20-bb,2600,1200,21,0.351,137000.0,149000000000000.0,4.35,1.11,25.0,0.0,3.73e-06,19.6,1.89
corundum-20-bb,2600,1200,22,0.374,135000.0,150000000000000.0,4.38,1.12,25.0,0.0,3.9e-06,19.4,1.89
corundum-20-bb,2600,1200,23,0.398,133000.0,152000000000000.0,4.41,1.13,25.0,0.0,4.09e-06,19.1,1.9
corundum-20-bb,2600,1200,24,0.424,131000.0,153000000000000.0,4.45,1.14,24.0,0.0,4.28e-06,18.9,1.9
corundum-20-bb,2600,1200,25,0.451,129000.0,154000000000000.0,4.48,1.15,24.0,0.0,4.48e-06,18.7,1.9
corundum-20-bb,2600,1200,26,0.48,127000.0,155000000000000.0,4.51,1.16,24.0,0.0,4.69e-06,18.4,1.9
