WAVE,FLUX,ERR,ERRSYS
18.2185192108,6.377064,0.056173857,0.042081833
18.3031997681,6.29477,0.055424172,0.07126808
18.3878707886,6.3996997,0.055881776,0.07126808
18.4725494385,6.4753346,0.056147095,0.0941308
18.5572299957,6.546387,0.057646625,0.010173619
18.6418991089,6.565527,0.059113853,0.07476556
18.7265796661,6.5737276,0.060741138,0.059957005
18.8112602234,6.5418158,0.06101855,0.018174792
18.8959407806,6.6668353,0.0626248,0.010491091
18.9806098938,6.699311,0.063516125,0.02121973
19.065290451,6.781509,0.06566681,0.014952234
19.149969101,6.9657598,0.07015443,0.0001697812
19.2346401215,6.8303537,0.072815545,0.00086689
19.3193206787,6.806932,0.07578595,0.00086689
19.4039993286,6.6024656,0.07599525,0.00086689
19.4886703491,6.6627245,0.07734603,0.021983147
19.5733509064,6.875895,0.08141527,0.021983147
19.6580295563,6.7831497,0.08192081,0.0333796
19.7427005768,6.798913,0.08389857,0.006942652
19.8273792267,6.885878,0.08470258,0
19.9120597839,6.9107637,0.08397285,0.020815581
19.9967308044,6.9583063,0.08333205,0.034656048
20.0814094543,7.003717,0.082372755,0.038557857
20.1660900116,7.105262,0.083000876,0.04646096
20.2507705688,7.1259184,0.082640365,0.051280975
20.335439682,7.162789,0.08295757,0.05057456
20.4201202393,7.08081,0.082020424,0.04439632
20.5048007965,7.177209,0.08292582,0.051280975
20.5894699097,5.9452953,0.06758244,0.42584562
20.7588291168,7.727039,0.08898719,0
20.9281806946,6.91151,0.07763075,0
21.097530365,7.1065507,0.066607304,0
21.2668895721,7.6214485,0.07635429,0.11432123
21.4362392426,7.3637433,0.07431676,0.17464018
21.6056003571,7.344176,0.06416043,0.20267582
21.7749500275,7.609317,0.06698265,0.20267582
21.9442996979,7.416381,0.07042978,0.34748983
22.1136608124,7.620363,0.06437102,0
22.2830104828,7.962072,0.06254189,0
22.4523601532,7.781948,0.06268796,0
22.6217193604,7.676029,0.06485627,0
22.7910709381,7.7856016,0.06255502,0
22.9604301453,7.791664,0.058283225,0
23.1297798157,7.8755126,0.058375,0.12816536
23.2991294861,7.674239,0.059533685,0.12394102
23.4684906006,7.657849,0.061498206,0.07499252
23.637840271,7.679212,0.05937361,0.027773
23.8071899414,7.5948095,0.056945857,0
23.9765491486,7.4931054,0.054389164,0.011133124
24.1459007263,7.462829,0.055475514,0.035430484
24.3152599335,7.621106,0.05831427,0.06933406
24.4846096039,7.774907,0.057489544,0.1710071
24.6539592743,7.6823053,0.055070356,0.005769855
24.8233203888,7.732291,0.05589249,0.21501303
24.9926700592,7.56534,0.058827434,0.015402734
25.1620197296,7.5494924,0.060550038,0
25.3313808441,7.702477,0.058025215,0
25.5007305145,7.5152235,0.05595844,0
25.6700897217,7.709038,0.05886447,0.26554585
25.8394393921,7.778245,0.061060484,0
26.0087890625,7.86976,0.062489826,0
26.178150177,7.582998,0.06068225,0.27748454
26.3474998474,7.571637,0.059801932,0.29172945
26.5168495178,7.69937,0.06355621,0.06425089
26.6862106323,7.7778225,0.061578266,0
26.8555603027,7.732613,0.061615746,0.14903033
27.0249195099,7.7792654,0.06334872,0.24287128
27.1942691803,7.853846,0.064285904,0.2500118
27.3636207581,7.7972565,0.06174824,0.19153246
27.5329799652,7.651105,0.059724838,0
27.7023296356,7.7385955,0.05994589,0
27.871679306,7.9159765,0.062295314,0
28.0410404205,7.863873,0.06351247,0
28.2103900909,7.817101,0.06543751,0
28.3797492981,7.6252756,0.06747136,0
28.5491008759,7.7933564,0.06407101,0
28.7184505463,7.666897,0.061870944,0
28.8878097534,7.632109,0.062336743,0.19238377
29.0571594238,7.563096,0.06459437,0.012506202
29.2265090942,7.439137,0.06708317,0.048362486
29.3958702087,7.489929,0.069597885,0.013064265
29.5652198792,7.439061,0.06743719,0
29.7345790863,7.4812284,0.06930274,0
29.9039306641,7.2802286,0.067985535,0
30.0732803345,7.2669163,0.06590274,0
30.2426395416,7.206271,0.06530203,0.038751327
30.411989212,7.1673303,0.067659095,0.10334349
30.5813407898,7.0853004,0.07189095,0.083863825
30.7506999969,7.139206,0.07542732,0.015423999
30.9200496674,7.1826196,0.077217005,0.09551916
31.0894107819,7.3933315,0.07497296,0
31.2587604523,7.2805247,0.0769527,0
31.4281101227,7.136143,0.07964542,0
31.5974693298,7.3483343,0.081276186,0
31.7668209076,7.1359444,0.0861941,0
31.936170578,7.2374096,0.086336255,0
32.1055297852,7.3993297,0.09013077,0
32.2748794556,7.2656574,0.09637271,0.12975296
32.4442405701,7.3745155,0.09929924,0.10297126
32.6135902405,7.460561,0.10270631,0.0645167
32.7829399109,7.3893504,0.10035185,0.14431572
32.9523010254,7.533059,0.101947054,0.15176064
33.1216506958,7.6000295,0.104616664,0.16380247
33.2910003662,7.7701826,0.111428656,0.12339321
33.4603614807,7.6511393,0.117384814,0
33.6297111511,7.947226,0.13128391,0
33.7990684509,7.6622534,0.13353658,0
33.9684181213,7.6875935,0.13361609,0
34.1377716064,7.35979,0.1370423,0.107784905
34.3071289063,7.173949,0.13787761,0.13568592
34.4764785767,7.1861224,0.13748345,0.048140436
34.6458282471,6.89662,0.1301936,0.18378033
34.8151893616,6.9733415,0.13816392,0.16539058
34.984539032,6.784789,0.13713847,0
35.1539001465,7.105798,0.14918168,0.017603522
35.3232498169,6.6763787,0.15153769,0.054158688
