wavelength,flux,error,strip,errrms,errsys,errcal
7.543313,0.062384,0.008601,1,0.008601,0.0,4.3E-4
7.565776,0.068226,0.009418,3,0.009418,0.0,4.6E-4
7.585874,0.06496,0.007643,1,0.007643,0.0,6.2E-4
7.602053,0.067245,0.009808,3,0.009281,5.27E-4,3.42E-4
7.605403,0.066387,0.008596,1,0.008596,0.0,6.17E-4
7.627751,0.065063,0.009902,3,0.009375,5.27E-4,4.83E-4
7.647965,0.065852,0.009045,1,0.007685,0.00136,7.11E-4
7.664028,0.069353,0.009793,3,0.009266,5.27E-4,3.67E-4
7.667495,0.068898,0.009472,1,0.008112,0.00136,7.68E-4
7.689726,0.068731,0.009689,3,0.009162,5.27E-4,5.68E-4
7.710057,0.070117,0.010734,1,0.007351,0.003383,9.48E-4
7.726003,0.068117,0.008713,3,0.008713,0.0,3.94E-4
7.729586,0.071425,0.010938,1,0.007555,0.003383,7.92E-4
7.7517,0.070837,0.008854,3,0.008854,0.0,6.21E-4
7.772148,0.06924,0.007263,1,0.007263,0.0,8.52E-4
7.787978,0.069428,0.008425,3,0.008425,0.0,3.98E-4
7.791677,0.067216,0.006952,1,0.006952,0.0,6.2E-4
7.813675,0.069719,0.008745,3,0.008745,0.0,7.96E-4
7.834239,0.07167,0.011721,1,0.007286,0.004436,7.02E-4
7.849952,0.070168,0.00826,3,0.00826,0.0,3.92E-4
7.853769,0.072518,0.011476,1,0.00704,0.004436,6.09E-4
7.896331,0.06628,0.010039,1,0.007447,0.002591,6.44E-4
7.911927,0.071231,0.008073,3,0.008073,0.0,4.48E-4
7.915861,0.068801,0.009444,1,0.006853,0.002591,6.24E-4
7.937625,0.074661,0.008381,3,0.008381,0.0,7.27E-4
7.958423,0.062825,0.011177,1,0.007331,0.003845,6.8E-4
7.973902,0.070565,0.011383,3,0.007665,0.003718,5.27E-4
7.977952,0.064783,0.01039,1,0.006544,0.003845,6.87E-4
7.999599,0.072122,0.011546,3,0.007828,0.003718,7.85E-4
8.020514,0.07522,0.007588,1,0.007588,0.0,8.68E-4
8.035876,0.07618,0.007262,3,0.007262,0.0,5.3E-4
8.040044,0.075227,0.006501,1,0.006501,0.0,7.5E-4
8.082606,0.067654,0.008654,1,0.007354,0.0013,6.94E-4
8.097852,0.077472,0.008296,3,0.007127,0.001168,4.64E-4
8.102136,0.074111,0.007662,1,0.006363,0.0013,6.6E-4
8.123549,0.078871,0.008417,3,0.007248,0.001168,7.2E-4
8.144697,0.078668,0.009152,1,0.007608,0.001544,7.33E-4
8.159826,0.079604,0.008127,3,0.006959,0.001168,4.18E-4
8.164227,0.079252,0.008061,1,0.006517,0.001544,6.99E-4
8.185524,0.082243,0.008428,3,0.00726,0.001168,6.58E-4
8.206789,0.081298,0.007736,1,0.007736,0.0,7.64E-4
8.221801,0.085385,0.007269,3,0.007269,0.0,4.39E-4
8.226318,0.077926,0.00652,1,0.00652,0.0,7.85E-4
8.247499,0.085633,0.007374,3,0.007374,0.0,7.21E-4
8.268881,0.085266,0.007798,1,0.007798,0.0,9.07E-4
8.283776,0.085331,0.007323,3,0.007323,0.0,5.11E-4
8.28841,0.083343,0.006592,1,0.006592,0.0,9.27E-4
8.330973,0.095987,0.008966,1,0.008201,7.65E-4,0.001134
8.345751,0.088333,0.007119,3,0.007119,0.0,6.53E-4
8.350502,0.094974,0.007468,1,0.006703,7.65E-4,0.001036
8.371448,0.088695,0.006964,3,0.006964,0.0,9.85E-4
8.393064,0.093149,0.0073,1,0.0073,0.0,0.001082
8.407725,0.091669,0.01412,3,0.006857,0.007263,5.91E-4
8.412594,0.09805,0.006761,1,0.006761,0.0,9.49E-4
8.433423,0.094773,0.014359,3,0.007096,0.007263,8.67E-4
8.455156,0.096411,0.007883,1,0.007266,6.17E-4,0.001058
8.4697,0.095522,0.007401,3,0.007401,0.0,0.001153
8.474686,0.096274,0.007311,1,0.006693,6.17E-4,8.67E-4
8.495398,0.087795,0.007557,3,0.007557,0.0,7.54E-4
8.517249,0.096285,0.007194,1,0.007194,0.0,0.001019
8.536778,0.09745,0.006958,1,0.006958,0.0,8.83E-4
8.579341,0.10324,0.007221,1,0.007221,0.0,0.001157
8.641433,0.10729,0.008902,1,0.007204,0.001698,0.00131
8.660962,0.106043,0.008709,1,0.007011,0.001698,0.00108
8.703525,0.109482,0.00694,1,0.00694,0.0,0.001371
8.723054,0.109624,0.007108,1,0.007108,0.0,0.001141
8.765617,0.115334,0.006812,1,0.006812,0.0,0.001399
8.785147,0.115148,0.00704,1,0.00704,0.0,0.00109
8.827709,0.120141,0.006748,1,0.006748,0.0,0.001384
8.847239,0.124359,0.007295,1,0.007295,0.0,0.001094
8.889802,0.13205,0.007476,1,0.006992,4.84E-4,0.001511
8.909331,0.128123,0.007862,1,0.007379,4.84E-4,0.001065
8.951894,0.131173,0.007146,1,0.007146,0.0,0.001448
8.971423,0.136812,0.007665,1,0.007665,0.0,0.001166
9.013987,0.141405,0.008114,1,0.007398,7.16E-4,0.00162
9.033516,0.141752,0.008518,1,0.007802,7.16E-4,0.001232
9.076078,0.142126,0.007425,1,0.007425,0.0,0.001786
9.095608,0.144408,0.00779,1,0.00779,0.0,0.001405
9.138171,0.151657,0.007628,1,0.007628,0.0,0.001993
9.157701,0.147406,0.00777,1,0.00777,0.0,0.00147
9.200264,0.157375,0.009419,1,0.007748,0.001671,0.002014
9.219793,0.156852,0.009572,1,0.007901,0.001671,0.001417
9.262357,0.156546,0.007807,1,0.007807,0.0,0.001898
9.281885,0.16193,0.008,1,0.008,0.0,0.001433
9.32445,0.163186,0.007995,1,0.007995,0.0,0.001974
9.343978,0.160902,0.008013,1,0.008013,0.0,0.00147
9.386541,0.164364,0.01035,1,0.008132,0.002219,0.002038
9.406071,0.165172,0.010377,1,0.008158,0.002219,0.001603
9.448634,0.166732,0.010088,1,0.008274,0.001813,0.002167
9.468163,0.168588,0.009898,1,0.008085,0.001813,0.001771
9.510727,0.166047,0.010449,1,0.00823,0.002219,0.002256
9.530256,0.166236,0.010128,1,0.007909,0.002219,0.001756
9.57282,0.166827,0.008184,1,0.008184,0.0,0.002259
9.592349,0.162142,0.00766,1,0.00766,0.0,0.001697
9.634913,0.162278,0.01094,1,0.007939,0.003,0.002055
9.654442,0.163772,0.010609,1,0.007609,0.003,0.001701
9.697006,0.164833,0.010927,1,0.007927,0.003,0.001989
9.716535,0.165157,0.010619,1,0.007618,0.003,0.001658
9.759099,0.166103,0.01131,1,0.007831,0.003479,0.002044
9.778628,0.170217,0.011181,1,0.007701,0.003479,0.001671
9.821192,0.172912,0.008047,1,0.008047,0.0,0.002143
9.840721,0.172858,0.007765,1,0.007765,0.0,0.001697
9.883286,0.173344,0.009434,1,0.008081,0.001353,0.002134
