 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  year4_3000_600.inp                                                    
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Central source spectrum described by a black body                       
  with temperature: 3000 K
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  1.000  0.000  0.000  0.000  0.000  0.000
  MRN size distribution:
       Power q:  3.5
  Minimal size: 5.00E-03 microns
  Maximal size: 2.50E-01 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 600  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 1243 K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
  54 2.79E+00 3.15E+03 9.86E+14 3.82E+01 7.35E+00   12   0  3.81E-05 5.33E+00 1.68E+00
  55 2.97E+00 3.10E+03 9.92E+14 3.85E+01 7.41E+00   12   0  3.98E-05 5.24E+00 1.64E+00
  56 3.16E+00 3.06E+03 1.00E+15 3.88E+01 7.46E+00   12   0  4.16E-05 5.15E+00 1.61E+00
  57 3.36E+00 3.02E+03 1.01E+15 3.90E+01 7.51E+00   12   0  4.35E-05 5.07E+00 1.57E+00
  58 3.58E+00 2.98E+03 1.01E+15 3.93E+01 7.56E+00   12   0  4.55E-05 4.98E+00 1.54E+00
  59 3.81E+00 2.92E+03 1.02E+15 3.96E+01 7.63E+00   12   0  4.79E-05 4.96E+00 1.50E+00
  60 4.06E+00 2.88E+03 1.03E+15 3.99E+01 7.69E+00   12   0  5.01E-05 4.88E+00 1.47E+00
  61 4.32E+00 2.85E+03 1.04E+15 4.02E+01 7.73E+00   12   0  5.22E-05 4.94E+00 1.42E+00
  62 4.60E+00 2.81E+03 1.04E+15 4.05E+01 7.79E+00   12   0  5.46E-05 4.86E+00 1.39E+00
  63 4.90E+00 2.77E+03 1.05E+15 4.08E+01 7.84E+00   12   0  5.71E-05 4.80E+00 1.36E+00
  64 5.22E+00 2.73E+03 1.06E+15 4.11E+01 7.90E+00   12   0  5.97E-05 4.73E+00 1.33E+00
  65 5.56E+00 2.69E+03 1.07E+15 4.14E+01 7.96E+00   12   0  6.25E-05 4.67E+00 1.30E+00
  66 5.92E+00 2.65E+03 1.07E+15 4.17E+01 8.02E+00   11   0  6.54E-05 4.60E+00 1.28E+00
  67 6.30E+00 2.61E+03 1.08E+15 4.20E+01 8.08E+00   11   0  6.85E-05 4.55E+00 1.25E+00
  68 6.71E+00 2.57E+03 1.09E+15 4.23E+01 8.14E+00   11   0  7.17E-05 4.49E+00 1.23E+00
  69 7.14E+00 2.53E+03 1.10E+15 4.26E+01 8.21E+00   11   0  7.51E-05 4.44E+00 1.20E+00
  70 7.61E+00 2.50E+03 1.11E+15 4.29E+01 8.25E+00   11   0  7.77E-05 4.40E+00 1.18E+00
  71 8.10E+00 2.46E+03 1.11E+15 4.32E+01 8.31E+00   11   0  8.15E-05 4.35E+00 1.16E+00
  72 8.62E+00 2.42E+03 1.12E+15 4.36E+01 8.38E+00   11   0  8.54E-05 4.30E+00 1.14E+00
  73 9.18E+00 2.38E+03 1.13E+15 4.39E+01 8.45E+00   11   0  8.96E-05 4.25E+00 1.12E+00
  74 9.78E+00 2.35E+03 1.14E+15 4.43E+01 8.52E+00   11   0  9.40E-05 4.21E+00 1.10E+00
  75 1.04E+01 2.31E+03 1.15E+15 4.46E+01 8.59E+00   11   0  9.86E-05 4.16E+00 1.08E+00
  76 1.11E+01 2.27E+03 1.16E+15 4.50E+01 8.66E+00   11   0  1.04E-04 4.12E+00 1.06E+00
  77 1.18E+01 2.23E+03 1.17E+15 4.54E+01 8.74E+00   11   0  1.09E-04 4.08E+00 1.04E+00
  78 1.26E+01 2.19E+03 1.18E+15 4.58E+01 8.82E+00   11   0  1.14E-04 4.04E+00 1.02E+00
  79 1.34E+01 2.15E+03 1.19E+15 4.62E+01 8.90E+00   11   0  1.20E-04 4.01E+00 1.00E+00
  80 1.42E+01 2.11E+03 1.20E+15 4.66E+01 8.98E+00   11   0  1.26E-04 3.97E+00 9.86E-01
  81 1.52E+01 2.06E+03 1.22E+15 4.72E+01 9.08E+00   11   0  1.32E-04 3.94E+00 9.64E-01
  82 1.62E+01 2.02E+03 1.23E+15 4.77E+01 9.17E+00   10   1  1.39E-04 3.91E+00 9.49E-01
  83 1.72E+01 1.99E+03 1.24E+15 4.81E+01 9.26E+00   10   1  1.46E-04 3.88E+00 9.34E-01
  84 1.83E+01 1.95E+03 1.25E+15 4.86E+01 9.35E+00   10   1  1.54E-04 3.85E+00 9.20E-01
  85 1.95E+01 1.91E+03 1.27E+15 4.91E+01 9.45E+00   10   1  1.62E-04 3.82E+00 9.07E-01
  86 2.08E+01 1.87E+03 1.28E+15 4.96E+01 9.54E+00   10   1  1.70E-04 3.79E+00 8.94E-01
  87 2.21E+01 1.84E+03 1.29E+15 5.00E+01 9.62E+00   10   1  1.78E-04 3.79E+00 8.78E-01
  88 2.35E+01 1.80E+03 1.30E+15 5.05E+01 9.73E+00   10   1  1.88E-04 3.76E+00 8.66E-01
  89 2.51E+01 1.76E+03 1.32E+15 5.11E+01 9.83E+00   10   1  1.98E-04 3.73E+00 8.55E-01
  90 2.67E+01 1.72E+03 1.33E+15 5.17E+01 9.94E+00   10   1  2.09E-04 3.70E+00 8.44E-01
  91 2.84E+01 1.68E+03 1.35E+15 5.23E+01 1.01E+01   10   1  2.21E-04 3.67E+00 8.34E-01
  92 3.03E+01 1.64E+03 1.36E+15 5.29E+01 1.02E+01   10   1  2.33E-04 3.65E+00 8.24E-01
