 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  year4_3200_350.inp                                                    
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Central source spectrum described by a black body                       
  with temperature: 3200 K
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  1.000  0.000  0.000  0.000  0.000  0.000
  MRN size distribution:
       Power q:  3.5
  Minimal size: 5.00E-03 microns
  Maximal size: 2.50E-01 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 350  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 751  K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
  46 1.69E+00 4.53E+02 2.60E+15 1.15E+02 1.94E+01    9   0 4.67E-05 3.70E+00 2.06E+00
  47 1.80E+00 4.47E+02 2.62E+15 1.15E+02 1.95E+01    9   0 4.87E-05 3.63E+00 2.02E+00
  48 1.91E+00 4.41E+02 2.63E+15 1.16E+02 1.97E+01    9   0 5.08E-05 3.55E+00 1.98E+00
  49 2.04E+00 4.35E+02 2.65E+15 1.17E+02 1.98E+01    9   0 5.31E-05 3.48E+00 1.94E+00
  50 2.17E+00 4.29E+02 2.67E+15 1.18E+02 1.99E+01    9   0 5.54E-05 3.42E+00 1.90E+00
  51 2.31E+00 4.23E+02 2.69E+15 1.19E+02 2.01E+01    9   0 5.79E-05 3.35E+00 1.86E+00
  52 2.46E+00 4.17E+02 2.71E+15 1.19E+02 2.02E+01    9   0 6.05E-05 3.28E+00 1.82E+00
  53 2.62E+00 4.12E+02 2.73E+15 1.20E+02 2.03E+01    9   0 6.31E-05 3.22E+00 1.78E+00
  54 2.79E+00 4.08E+02 2.74E+15 1.21E+02 2.04E+01    9   1 6.52E-05 3.17E+00 1.75E+00
  55 2.97E+00 4.02E+02 2.76E+15 1.22E+02 2.06E+01    9   1 6.82E-05 3.11E+00 1.71E+00
  56 3.16E+00 3.96E+02 2.78E+15 1.23E+02 2.07E+01    9   1 7.13E-05 3.06E+00 1.67E+00
  57 3.36E+00 3.91E+02 2.80E+15 1.23E+02 2.09E+01    8   1 7.45E-05 3.00E+00 1.64E+00
  58 3.58E+00 3.85E+02 2.82E+15 1.24E+02 2.10E+01    8   1 7.79E-05 2.95E+00 1.60E+00
  59 3.81E+00 3.78E+02 2.84E+15 1.25E+02 2.12E+01    8   1 8.19E-05 2.93E+00 1.55E+00
  60 4.06E+00 3.73E+02 2.86E+15 1.26E+02 2.14E+01    8   1 8.57E-05 2.89E+00 1.52E+00
  61 4.32E+00 3.68E+02 2.88E+15 1.27E+02 2.15E+01    8   0 8.92E-05 2.92E+00 1.46E+00
  62 4.60E+00 3.63E+02 2.90E+15 1.28E+02 2.17E+01    8   0 9.34E-05 2.88E+00 1.43E+00
  63 4.90E+00 3.57E+02 2.92E+15 1.29E+02 2.18E+01    8   0 9.77E-05 2.83E+00 1.40E+00
  64 5.22E+00 3.52E+02 2.95E+15 1.30E+02 2.20E+01    8   0 1.02E-04 2.79E+00 1.37E+00
  65 5.56E+00 3.46E+02 2.97E+15 1.31E+02 2.22E+01    8   0 1.07E-04 2.75E+00 1.34E+00
  66 5.92E+00 3.41E+02 2.99E+15 1.32E+02 2.23E+01    8   0 1.12E-04 2.71E+00 1.32E+00
  67 6.30E+00 3.35E+02 3.02E+15 1.33E+02 2.25E+01    8   0 1.18E-04 2.67E+00 1.29E+00
  68 6.71E+00 3.30E+02 3.04E+15 1.34E+02 2.27E+01    8   0 1.23E-04 2.63E+00 1.26E+00
  69 7.14E+00 3.24E+02 3.07E+15 1.35E+02 2.29E+01    8   0 1.29E-04 2.59E+00 1.24E+00
  70 7.61E+00 3.21E+02 3.09E+15 1.36E+02 2.30E+01    8   0 1.34E-04 2.57E+00 1.22E+00
  71 8.10E+00 3.15E+02 3.12E+15 1.37E+02 2.32E+01    8   0 1.40E-04 2.53E+00 1.20E+00
  72 8.62E+00 3.09E+02 3.14E+15 1.39E+02 2.35E+01    8   0 1.47E-04 2.50E+00 1.17E+00
  73 9.18E+00 3.04E+02 3.17E+15 1.40E+02 2.37E+01    8   0 1.55E-04 2.47E+00 1.15E+00
  74 9.78E+00 2.98E+02 3.20E+15 1.41E+02 2.39E+01    8   0 1.63E-04 2.43E+00 1.13E+00
  75 1.04E+01 2.92E+02 3.23E+15 1.43E+02 2.41E+01    7   0 1.71E-04 2.40E+00 1.11E+00
  76 1.11E+01 2.87E+02 3.27E+15 1.44E+02 2.44E+01    7   0 1.80E-04 2.37E+00 1.09E+00
  77 1.18E+01 2.81E+02 3.30E+15 1.46E+02 2.46E+01    7   0 1.89E-04 2.34E+00 1.07E+00
  78 1.26E+01 2.75E+02 3.33E+15 1.47E+02 2.49E+01    7   0 1.99E-04 2.31E+00 1.05E+00
  79 1.34E+01 2.68E+02 3.38E+15 1.49E+02 2.52E+01    7   0 2.09E-04 2.29E+00 1.03E+00
  80 1.42E+01 2.62E+02 3.42E+15 1.51E+02 2.55E+01    7   0 2.20E-04 2.26E+00 1.01E+00
  81 1.52E+01 2.56E+02 3.45E+15 1.52E+02 2.58E+01    7   0 2.32E-04 2.23E+00 9.94E-01
  82 1.62E+01 2.51E+02 3.49E+15 1.54E+02 2.61E+01    7   0 2.44E-04 2.20E+00 9.78E-01
  83 1.72E+01 2.45E+02 3.53E+15 1.56E+02 2.64E+01    7   0 2.58E-04 2.17E+00 9.63E-01
  84 1.83E+01 2.39E+02 3.58E+15 1.58E+02 2.67E+01    7   0 2.72E-04 2.15E+00 9.48E-01
  85 1.95E+01 2.33E+02 3.62E+15 1.60E+02 2.70E+01    7   0 2.87E-04 2.12E+00 9.33E-01
  86 2.08E+01 2.28E+02 3.67E+15 1.62E+02 2.74E+01    7   0 3.03E-04 2.09E+00 9.19E-01
  87 2.21E+01 2.23E+02 3.70E+15 1.63E+02 2.76E+01    7   0 3.18E-04 2.08E+00 9.01E-01
  88 2.35E+01 2.17E+02 3.75E+15 1.66E+02 2.80E+01    7   1 3.36E-04 2.06E+00 8.88E-01
  89 2.51E+01 2.12E+02 3.80E+15 1.68E+02 2.84E+01    7   1 3.55E-04 2.03E+00 8.76E-01
  90 2.67E+01 2.06E+02 3.85E+15 1.70E+02 2.88E+01    7   1 3.76E-04 2.00E+00 8.63E-01
  91 2.84E+01 2.00E+02 3.91E+15 1.72E+02 2.92E+01    6   1 3.97E-04 1.97E+00 8.52E-01
  92 3.03E+01 1.95E+02 3.96E+15 1.75E+02 2.96E+01    6   1 4.21E-04 1.95E+00 8.40E-01
  93 3.22E+01 1.89E+02 4.02E+15 1.77E+02 3.00E+01    6   1 4.45E-04 1.92E+00 8.29E-01
  94 3.43E+01 1.84E+02 4.08E+15 1.80E+02 3.04E+01    6   1 4.72E-04 1.89E+00 8.18E-01
  95 3.65E+01 1.78E+02 4.14E+15 1.83E+02 3.09E+01    6   1 5.00E-04 1.86E+00 8.07E-01
  96 3.89E+01 1.73E+02 4.21E+15 1.86E+02 3.14E+01    6   1 5.31E-04 1.84E+00 7.97E-01
  97 4.14E+01 1.67E+02 4.27E+15 1.89E+02 3.19E+01    6   1 5.63E-04 1.81E+00 7.87E-01
  98 4.41E+01 1.62E+02 4.34E+15 1.92E+02 3.24E+01    6   1 5.98E-04 1.78E+00 7.77E-01
  99 4.70E+01 1.57E+02 4.41E+15 1.95E+02 3.29E+01    6   1 6.35E-04 1.76E+00 7.68E-01
 100 5.00E+01 1.52E+02 4.49E+15 1.98E+02 3.35E+01    6   1 6.74E-04 1.73E+00 7.59E-01
 ======================================================================================
   (1) Optical depth at 1.0E+01 microns
   (2) Bolometric flux at the inner radius 
   (3) Inner radius for L=1E4 Lsun
   (4) Ratio of the inner to the stellar radius
   (5) Angular size (in arcsec) when Fbol=1E-6 W/m2
   (6) Dust temperature at the outer edge (in K)
   (7) Maximum error in flux conservation (%)
   (8) Mass-loss rate (in Msun/yr)
   (9) Terminal outflow velocity (in km/s)
   (10) Upper limit of the stellar mass (in Msun)
 =================================================
  Everything is OK for all models
  Spectra are in files *.s##
 ========== THE END ==============================
